id,id2,distritos,validos,CDU_CSU,SPD,AfD,FDP,LINKE,GRÜNE,OTROS,CDU_CSU_porc,SPD_porc,AfD_porc,FDP_porc,LINKE_porc,GRÜNE_porc,OTROS_porc,primero,primer.partido,segundo,segundo.partido
45,3,Gifhorn – Peine,167373,60345,63294,16501,8062,8827,9342,1002,36.05420229069205,37.81613521894212,9.85881832792625,4.8167864589868135,5.2738494261320525,5.581545410550088,0.5986628667706261,SPD,37.81613521894212,CDU_CSU,36.05420229069205
46,3,Hameln-Pyrmont – Holzminden,138469,46181,54130,13143,8034,8220,7511,1250,33.351147188179304,39.09178227617734,9.491655171915736,5.802020668886176,5.9363467635355205,5.424318800597968,0.9027291307079564,SPD,39.09178227617734,CDU_CSU,33.351147188179304
47,3,Hannover-Land II,186766,65815,69104,17570,10092,10124,10693,3368,35.2392833813435,37.000310549029265,9.40749386933382,5.403553109238298,5.42068684878404,5.72534615508176,1.803326087189317,SPD,37.000310549029265,CDU_CSU,35.2392833813435
48,3,Hildesheim,167861,60457,62448,14433,9330,8502,12691,0,36.01610856601593,37.202208970517276,8.598185403399242,5.558170152685853,5.064904891547172,7.560422015834529,0,SPD,37.202208970517276,CDU_CSU,36.01610856601593
49,3,Salzgitter – Wolfenbüttel,155479,45310,66587,18564,7268,9290,6680,1780,29.14219926806836,42.82700557631578,11.939876124749967,4.674586278532792,5.975083451784485,4.296400156934377,1.1448491436142503,SPD,42.82700557631578,CDU_CSU,29.14219926806836
50,3,Braunschweig,146350,45881,55641,11377,7877,11145,11761,2668,31.3501879057055,38.01913221728733,7.773829859924837,5.382302699009225,7.61530577382986,8.036214554151009,1.8230269900922444,SPD,38.01913221728733,CDU_CSU,31.3501879057055
51,3,Helmstedt – Wolfsburg,135832,47416,51646,13857,7791,8128,6096,898,34.90782731609636,38.0219683137994,10.201572530773309,5.735761823428941,5.983862418281406,4.487896813711055,0.6611107839095353,SPD,38.0219683137994,CDU_CSU,34.90782731609636
52,3,Goslar – Northeim – Osterode,149372,59391,51953,13937,7438,8525,8128,0,39.760463808478164,34.78094957555633,9.33039659373912,4.979514232921833,5.707227592855421,5.441448196449134,0,CDU_CSU,39.760463808478164,SPD,34.78094957555633
53,3,Göttingen,169108,56250,59032,11870,7734,9905,19131,5186,33.26276698914303,34.90786952716607,7.019183007308939,4.573408709227239,5.857203680488208,11.312888804787473,3.066679281879036,SPD,34.90786952716607,CDU_CSU,33.26276698914303
54,4,Bremen I,185437,44912,55656,14290,20702,22666,22117,5094,24.219546260994303,30.013427740957844,7.706121216369981,11.163899329691485,12.223019138575365,11.926961717456603,2.747024595954421,SPD,30.013427740957844,CDU_CSU,24.219546260994303
55,4,Bremen II – Bremerhaven,145606,36363,49463,16645,9755,16739,11269,5372,24.973558781918328,33.97044077853935,11.4315344147906,6.699586555499086,11.496092194002996,7.73937887174979,3.689408403499856,SPD,33.97044077853935,CDU_CSU,24.973558781918328
56,12,Prignitz – Ostprignitz-Ruppin – Havelland I,118415,36481,28061,21296,4226,20849,3547,3955,30.807752396233585,23.69716674407803,17.9842080817464,3.5688046277920873,17.60672212135287,2.9953975425410633,3.339948486255964,CDU_CSU,30.807752396233585,SPD,23.69716674407803
57,12,Uckermark – Barnim I,127876,39102,24843,25804,4859,23589,4714,4965,30.57805999562076,19.427414057368075,20.178923331977856,3.799774781819888,18.446776564797148,3.6863836841940634,3.882667584222215,CDU_CSU,30.57805999562076,AfD,20.178923331977856
58,12,Oberhavel – Havelland II,182290,54455,41423,32762,9514,26839,9685,7612,29.87273026496242,22.723682045092982,17.9724614625048,5.219156289428932,14.723243183937681,5.312962861374733,4.1757638926984475,CDU_CSU,29.87273026496242,SPD,22.723682045092982
59,12,Märkisch-Oderland – Barnim II,167605,47594,26526,33915,7111,37721,8972,5766,28.396527549894095,15.826496822887146,20.23507651919692,4.2427135228662625,22.505891829002714,5.353062259479133,3.440231496673727,CDU_CSU,28.396527549894095,LINKE,22.505891829002714
60,12,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,125798,39991,31548,21312,5763,19038,4293,3853,31.789853574778615,25.078300131957583,16.941445809949286,4.581153913416747,15.133785910745798,3.412613873034547,3.0628467861174262,CDU_CSU,31.789853574778615,SPD,25.078300131957583
61,12,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,193510,48095,50588,23890,14425,31840,15549,9123,24.854012712521317,26.142318226448246,12.345615213684047,7.454395121699137,16.453930029455844,8.03524365665857,4.714485039532841,SPD,26.142318226448246,CDU_CSU,24.854012712521317
62,12,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,184378,56607,36148,37358,8910,30278,8127,6950,30.70160214342275,19.605375912527524,20.26163642083112,4.832463742962827,16.421698901170423,4.407792686763063,3.7694301923222944,CDU_CSU,30.70160214342275,AfD,20.26163642083112
63,12,Frankfurt (Oder) – Oder-Spree,137959,37344,23598,30261,7008,26401,4504,8843,27.068911778136982,17.105081944635725,21.934777723816495,5.079770076616966,19.1368450046753,3.2647380743554244,6.409875397763104,CDU_CSU,27.068911778136982,AfD,21.934777723816495
64,12,Cottbus – Spree-Neiße,129723,36855,22019,32776,7426,20359,4319,5969,28.41053629657038,16.97385968563786,25.266144014554087,5.724505292045358,15.694209970475551,3.32940187938916,4.601342861327598,CDU_CSU,28.41053629657038,AfD,25.266144014554087
65,12,Elbe-Elster – Oberspreewald-Lausitz II,120848,35633,20142,29830,6492,19583,3543,5625,29.485800344234082,16.66721832384483,24.683900436912484,5.372037600953264,16.204653779954985,2.931782073348338,4.654607440752019,CDU_CSU,29.485800344234082,AfD,24.683900436912484
66,15,Altmark,109455,35644,20900,18031,7388,20973,3738,2781,32.56498104243753,19.0946050888493,16.473436572107257,6.749805856287973,19.161299164040017,3.41510209675209,2.5407701795258326,CDU_CSU,32.56498104243753,LINKE,19.161299164040017
67,15,Börde – Jerichower Land,145948,55110,29174,NA,11080,29616,3540,NA,37.760024118179075,19.989311261545208,NA,7.591745005070299,20.292158851097653,2.425521418587442,NA,CDU_CSU,NA,LINKE,20.292158851097653
68,15,Harz,141128,51386,24767,22792,6923,27104,4462,3694,36.41091774842696,17.549316932146702,16.149878124822855,4.905475880052151,19.205260472762316,3.1616688396349417,2.617482002154073,CDU_CSU,36.41091774842696,LINKE,19.205260472762316
69,15,Magdeburg,160556,44021,34877,24509,10796,30299,6417,9637,27.417847978275496,21.72263883006552,15.2650788509928,6.724133635616234,18.87129724208376,3.9967363412142807,6.002267121751912,CDU_CSU,27.417847978275496,SPD,21.72263883006552
70,15,Dessau – Wittenberg,121399,42781,14806,23520,6051,22086,5607,6548,35.239993739651894,12.196146590993335,19.374129935172448,4.984390316229952,18.192901094737188,4.618654189902718,5.393784133312465,CDU_CSU,35.239993739651894,AfD,19.374129935172448
71,15,Anhalt,145192,45843,18687,32281,9213,30757,2854,5557,31.574053666868696,12.870543831616066,22.233318640145463,6.345390930629787,21.183674031627085,1.9656730398369058,3.8273458592759937,CDU_CSU,31.574053666868696,AfD,22.233318640145463
72,15,Halle,150275,40690,32053,26018,10131,30530,5475,5378,27.07702545333555,21.329562468807186,17.313591748461153,6.7416403260688735,20.31608717351522,3.6433205789386123,3.578772250873399,CDU_CSU,27.07702545333555,SPD,21.329562468807186
73,15,Burgenland – Saalekreis,128915,43254,16930,30112,8538,21819,3198,5064,33.55234068960167,13.132684326882055,23.35802660667882,6.622968622735911,16.925105689795604,2.4807043400690376,3.9281697242369003,CDU_CSU,33.55234068960167,AfD,23.35802660667882
74,15,Mansfeld,137657,42725,20864,32864,11091,24863,3647,1603,31.03728833259478,15.156512200614571,23.873831334403626,8.056982209404534,18.061558801949772,2.649338573410724,1.164488547621988,CDU_CSU,31.03728833259478,AfD,23.873831334403626
75,11,Berlin-Mitte,149071,27654,35036,11782,9017,30492,26781,8309,18.550891856900403,23.502894593851252,7.903616397555527,6.0487955403800875,20.45468266799042,17.965264873784974,5.573854069537335,SPD,23.502894593851252,LINKE,20.45468266799042
76,11,Berlin-Pankow,186313,36429,30509,22487,7890,53618,26376,9004,19.552580871973507,16.375132170057913,12.069474486482425,4.234809165221965,28.77845346272133,14.156822121913123,4.83272772162973,LINKE,28.77845346272133,CDU_CSU,19.552580871973507
77,11,Berlin-Reinickendorf,134860,49654,31882,17738,9688,10384,10647,4867,36.8189233278956,23.6408126946463,13.15289930298087,7.183746107074003,7.699836867862969,7.894853922586385,3.608927776953878,CDU_CSU,36.8189233278956,SPD,23.6408126946463
78,11,Berlin-Spandau – Charlottenburg Nord,130574,40372,41965,17551,8292,9861,8031,4502,30.918865930430258,32.138863786052354,13.441420190849634,6.350421982936878,7.552039456553372,6.150535328625914,3.447853324551595,SPD,32.138863786052354,CDU_CSU,30.918865930430258
