id,id2,distritos,validos,CDU_CSU,SPD,AfD,FDP,LINKE,GRÜNE,OTROS
184,6,Groß-Gerau,130857,45963,42342,14805,7358,8729,8877,2783
185,6,Offenbach,160983,58565,40106,18047,12420,12435,14246,5164
186,6,Darmstadt,189775,58216,56442,17227,11739,16146,26939,3066
187,6,Odenwald,181831,65654,52761,21347,13139,11138,14181,3611
188,6,Bergstraße,153739,59781,41408,19153,11711,8511,11747,1428
189,16,Eichsfeld – Nordhausen – Kyffhäuserkreis,156075,59318,22320,33402,7633,23848,3992,5562
190,16,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,160840,55378,24478,34052,8075,24899,5066,8892
191,16,Jena – Sömmerda – Weimarer Land I,152895,44684,21668,29451,8939,32680,7544,7929
192,16,Gotha – Ilm-Kreis,145595,42221,27120,34798,8775,22674,4809,5198
193,16,Erfurt – Weimar – Weimarer Land II,165925,45305,30257,28960,9975,30948,11722,8758
194,16,Gera – Greiz – Altenburger Land,174113,52980,20627,47558,9712,32573,3652,7011
195,16,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,169352,52311,19753,44894,10323,28926,5726,7419
196,16,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,167872,56316,22579,38351,8147,30646,4408,7425
197,7,Neuwied,178205,76933,50996,16954,10898,9521,9449,3454
198,7,Ahrweiler,149595,64006,40944,13105,12981,6790,8616,3153
199,7,Koblenz,149009,61594,42777,12153,9732,7693,9273,5787
200,7,Mosel/Rhein-Hunsrück,132828,58596,33477,10834,11544,7040,6465,4872
201,7,Kreuznach,137794,50975,43373,14914,9342,7610,6750,4830
202,7,Bitburg,124382,63719,32017,8840,8703,6786,NA,NA
203,7,Trier,149338,56611,50283,10414,7910,9842,9645,4633
204,7,Montabaur,158697,68727,47312,NA,14543,11098,8225,NA
205,7,Mainz,200319,71535,56184,14542,13813,12904,21685,9656
206,7,Worms,167176,68685,44569,18902,10058,8539,11280,5143
207,7,Ludwigshafen/Frankenthal,159181,51168,50740,23109,11910,8979,8700,4575
208,7,Neustadt – Speyer,173721,69504,44032,20593,11734,8207,13156,6495
209,7,Kaiserslautern,169379,53022,57482,21378,9256,12277,8618,7346
210,7,Pirmasens,132235,48719,38028,16989,8846,8019,5544,6090
211,7,Südpfalz,170011,68588,44224,20932,10209,8018,13500,4540
212,9,Altötting,125538,68435,15479,16486,7070,6060,7584,4424
213,9,Erding – Ebersberg,162248,78212,24131,16689,11889,6418,16607,8302
214,9,Freising,185177,79545,24916,23222,13400,9265,17439,17390
215,9,Fürstenfeldbruck,189300,82602,35454,19352,13661,7699,17244,13288
216,9,Ingolstadt,182472,90383,24799,23720,9310,8817,11515,13928
217,9,München-Nord,173121,55811,45068,13216,16669,10351,22726,9280
218,9,München-Ost,185687,68255,39621,13822,16451,11655,28278,7605
219,9,München-Süd,169397,55894,39873,12921,15332,12611,23343,9423
220,9,München-West/Mitte,192077,64014,44283,12852,17369,13569,31385,8605
221,9,München-Land,196136,85347,31943,16458,18312,7708,26890,9478
222,9,Rosenheim,184948,84981,21890,23988,13750,7036,17307,15996
223,9,Bad Tölz-Wolfratshausen – Miesbach,131254,62465,14792,13025,10702,6922,17786,5562
224,9,Starnberg – Landsberg am Lech,175679,73948,29308,15607,16893,6983,20864,12076
225,9,Traunstein,159225,80056,25659,16276,9034,7144,12972,8084
226,9,Weilheim,133038,63784,19722,13383,9370,6229,12066,8484
227,9,Deggendorf,118391,52167,20612,20438,4707,4955,5342,10170
228,9,Landshut,191235,75702,25970,24080,16297,6869,12514,29803
229,9,Passau,130171,61835,24611,18328,7900,6246,7248,4003
230,9,Rottal-Inn,123060,55364,17683,18539,8625,4851,6061,11937
231,9,Straubing,128050,60976,21525,19261,5670,4766,4602,11250
232,9,Amberg,167850,80075,25580,18790,8388,7461,11612,15944
233,9,Regensburg,196889,78858,32862,23275,12254,11761,18343,19536
234,9,Schwandorf,159086,77092,38461,NA,7392,7929,6172,NA
235,9,Weiden,128191,59285,28614,NA,5269,5677,4553,NA
236,9,Bamberg,144133,60675,29475,16603,9364,7504,13194,7318
237,9,Bayreuth,126171,58665,26785,11845,8368,5476,8936,6096
238,9,Coburg,121693,55078,32163,12763,5877,6305,7129,2378
239,9,Hof,125858,59182,29641,14893,4716,5560,5936,5930
240,9,Kulmbach,133677,74105,21494,15497,5381,5057,5880,6263
241,9,Ansbach,183903,81431,33755,19396,7661,11179,13946,16535
242,9,Erlangen,147160,62767,30965,11670,8713,8633,16179,8233
243,9,Fürth,197027,78559,45055,20968,10618,13311,19088,9428
244,9,Nürnberg-Nord,144923,45340,37068,13398,10379,14511,18463,5764
245,9,Nürnberg-Süd,130675,46511,34621,17270,7632,10772,10163,3706
246,9,Roth,184186,81874,37920,18925,8583,8887,14465,13532
247,9,Aschaffenburg,142890,68708,23660,14985,11381,6833,13144,4179
248,9,Bad Kissingen,169407,86603,32383,17753,9534,9071,11980,2083
249,9,Main-Spessart,155377,72406,35148,14075,7708,7515,11050,7475
250,9,Schweinfurt,154269,73901,26346,17198,9506,12091,11466,3761
251,9,Würzburg,181297,76515,33929,13872,14592,10130,25359,6900
252,9,Augsburg-Stadt,151642,52769,29285,20170,9191,12850,21062,6315
253,9,Augsburg-Land,197263,94252,27813,24279,11976,7231,14809,16903
254,9,Donau-Ries,146456,68770,26562,18799,7321,6198,9436,9370
255,9,Neu-Ulm,180376,80503,26419,24612,10780,7855,16519,13688
256,9,Oberallgäu,175197,88357,21451,16825,12262,8264,16162,11876
257,9,Ostallgäu,189889,93430,21610,24018,10627,10153,16537,13514
258,8,Stuttgart I,159677,51118,20512,10646,13399,10409,47430,6163
259,8,Stuttgart II,137837,46166,25469,14345,11903,12321,21850,5783
260,8,Böblingen,194286,75323,38053,21842,24867,9715,23206,1280
261,8,Esslingen,134118,53665,25697,14390,11657,7853,20501,355
262,8,Nürtingen,166287,65566,31655,19833,16390,7978,24540,325
263,8,Göppingen,135470,50892,29730,19588,12492,5994,16420,354
264,8,Waiblingen,176407,64958,33898,21863,23568,8626,21542,1952
265,8,Ludwigsburg,173535,66430,30971,20157,17691,9487,24702,4097
266,8,Neckar-Zaber,184382,73689,36327,23215,16191,8453,23092,3415
267,8,Heilbronn,183110,64591,42455,28575,17566,8448,14920,6555
268,8,Schwäbisch Hall – Hohenlohe,169860,68717,31406,22894,14252,7314,21468,3809
269,8,Backnang – Schwäbisch Gmünd,134801,55595,26971,17788,10882,7581,15216,768
270,8,Aalen – Heidenheim,167586,77752,35164,18447,10218,8678,16123,1204
271,8,Karlsruhe-Stadt,160506,45821,37924,16073,13829,12155,28268,6436
272,8,Karlsruhe-Land,166740,67396,32886,19512,15138,7627,19076,5105
273,8,Rastatt,154890,68259,29486,18849,11150,7123,16954,3069
274,8,Heidelberg,177570,58019,46219,15803,11769,10751,29664,5345
275,8,Mannheim,142574,41812,39795,17833,9835,10493,18739,4067
276,8,Odenwald – Tauber,161223,75531,30849,21849,11419,8422,11090,2063
277,8,Rhein-Neckar,154416,57788,36886,20177,12571,8010,14792,4192
278,8,Bruchsal – Schwetzingen,152358,63166,29684,21960,10255,7016,12641,7636
279,8,Pforzheim,165973,60476,31611,26172,19760,7730,16016,4208
280,8,Calw,151724,65676,25601,21431,14154,6832,13284,4746
281,8,Freiburg,179374,50256,40647,12984,9546,13172,46115,6654
282,8,Lörrach – Müllheim,175517,69148,36986,16854,15271,8854,26244,2160
283,8,Emmendingen – Lahr,166356,62476,39472,18027,14275,8691,18537,4878
284,8,Offenburg,153606,73935,26532,15899,9593,8264,19383,0
285,8,Rottweil – Tuttlingen,150030,64558,23855,19543,16255,5825,14299,5695
286,8,Schwarzwald-Baar,123690,58149,20672,14069,10438,5347,12085,2930
287,8,Konstanz,157109,70355,26396,15006,11425,11003,21052,1872
288,8,Waldshut,135059,56528,32522,12388,8402,6767,16030,2422
289,8,Reutlingen,155803,63494,23397,18702,15533,9711,22309,2657
290,8,Tübingen,158186,56446,27325,13684,12504,13862,30197,4168
291,8,Ulm,175444,74849,35456,18734,14173,8105,20990,3137
292,8,Biberach,130082,57837,22034,14640,9775,4907,17589,3300
293,8,Bodensee,135794,56165,24451,14079,11999,7185,18811,3104
294,8,Ravensburg,144657,55758,17958,13668,14672,7860,29216,5525
295,8,Zollernalb – Sigmaringen,137194,61694,19716,18609,12695,6450,17489,541
296,10,Saarbrücken,145298,45664,46688,12950,7672,19262,8782,4280
297,10,Saarlouis,158015,60102,50672,14224,6069,17142,5532,4274
298,10,St. Wendel,138769,57987,42129,11646,6517,13584,4674,2232
299,10,Homburg,143321,48102,45022,15767,7369,15724,7128,4209
